constructorStandingsId,raceId,constructorId,points,position,positionText,wins,year,constructorRef,name,nationality
24545,842,10,4.0,7,7,0,2011,force_india,Force India,Indian
24546,842,205,0.0,9,9,0,2011,lotus_racing,Lotus,Malaysian
24547,842,166,0.0,10,10,0,2011,virgin,Virgin,British
24548,842,3,0.0,11,11,0,2011,williams,Williams,British
24549,842,131,2.0,8,8,0,2011,mercedes,Mercedes,German
24550,842,15,6.0,5,5,0,2011,sauber,Sauber,Swiss
24551,842,164,0.0,12,12,0,2011,hrt,HRT,Spanish
24777,861,1,55.0,1,1,1,2012,mclaren,McLaren,British
24778,861,9,42.0,2,2,0,2012,red_bull,Red Bull,Austrian
24779,861,6,35.0,3,3,1,2012,ferrari,Ferrari,Italian
24780,861,15,30.0,4,4,0,2012,sauber,Sauber,Swiss
24781,861,208,16.0,5,5,0,2012,lotus_f1,Lotus F1,British
24782,861,5,6.0,8,8,0,2012,toro_rosso,Toro Rosso,Italian
24783,861,10,9.0,6,6,0,2012,force_india,Force India,Indian
24784,861,131,1.0,9,9,0,2012,mercedes,Mercedes,German
24785,861,3,8.0,7,7,0,2012,williams,Williams,British
24786,861,206,0.0,10,10,0,2012,marussia,Marussia,Russian
24787,861,207,0.0,11,11,0,2012,caterham,Caterham,Malaysian
24788,861,164,0.0,12,12,0,2012,hrt,HRT,Spanish
25146,881,208,40.0,2,2,1,2013,lotus_f1,Lotus F1,British
25147,881,6,40.0,3,3,0,2013,ferrari,Ferrari,Italian
25148,881,9,66.0,1,1,1,2013,red_bull,Red Bull,Austrian
25149,881,131,37.0,4,4,0,2013,mercedes,Mercedes,German
25150,881,10,10.0,5,5,0,2013,force_india,Force India,Indian
25151,881,1,4.0,7,7,0,2013,mclaren,McLaren,British
25152,881,5,1.0,8,8,0,2013,toro_rosso,Toro Rosso,Italian
25153,881,15,4.0,6,6,0,2013,sauber,Sauber,Swiss
25154,881,3,0.0,9,9,0,2013,williams,Williams,British
25155,881,206,0.0,10,10,0,2013,marussia,Marussia,Russian
25156,881,207,0.0,11,11,0,2013,caterham,Caterham,Malaysian
25754,37,12,0.0,10,10,0,2007,spyker,Spyker,Dutch
25943,901,1,43.0,2,2,0,2014,mclaren,McLaren,British
25942,901,131,68.0,1,1,2,2014,mercedes,Mercedes,German
25944,901,6,30.0,3,3,0,2014,ferrari,Ferrari,Italian
25945,901,3,20.0,4,4,0,2014,williams,Williams,British
25946,901,10,19.0,5,5,0,2014,force_india,Force India,Indian
25947,901,5,7.0,7,7,0,2014,toro_rosso,Toro Rosso,Italian
25948,901,15,0.0,8,8,0,2014,sauber,Sauber,Swiss
25949,901,206,0.0,11,11,0,2014,marussia,Marussia,Russian
25950,901,208,0.0,9,9,0,2014,lotus_f1,Lotus F1,British
25951,901,207,0.0,10,10,0,2014,caterham,Caterham,Malaysian
25952,901,9,15.0,6,6,0,2014,red_bull,Red Bull,Austrian
26149,927,131,76.0,1,1,1,2015,mercedes,Mercedes,German
26150,927,6,52.0,2,2,1,2015,ferrari,Ferrari,Italian
26151,927,3,30.0,3,3,0,2015,williams,Williams,British
26152,927,15,14.0,4,4,0,2015,sauber,Sauber,Swiss
26153,927,9,11.0,6,6,0,2015,red_bull,Red Bull,Austrian
26154,927,10,7.0,7,7,0,2015,force_india,Force India,Indian
26155,927,5,12.0,5,5,0,2015,toro_rosso,Toro Rosso,Italian
26156,927,1,0.0,9,9,0,2015,mclaren,McLaren,British
26157,927,208,0.0,8,8,0,2015,lotus_f1,Lotus F1,British
26158,927,209,0.0,10,10,0,2015,manor,Manor Marussia,British
26623,963,131,553.0,1,1,14,2016,mercedes,Mercedes,German
26624,963,6,313.0,3,3,0,2016,ferrari,Ferrari,Italian
26625,963,9,359.0,2,2,2,2016,red_bull,Red Bull,Austrian
26626,963,3,121.0,5,5,0,2016,williams,Williams,British
26627,963,210,28.0,8,8,0,2016,haas,Haas F1 Team,American
26628,963,10,124.0,4,4,0,2016,force_india,Force India,Indian
26629,963,5,47.0,7,7,0,2016,toro_rosso,Toro Rosso,Italian
26630,963,4,8.0,9,9,0,2016,renault,Renault,French
26631,963,1,62.0,6,6,0,2016,mclaren,McLaren,British
26632,963,15,0.0,11,11,0,2016,sauber,Sauber,Swiss
26633,963,209,1.0,10,10,0,2016,manor,Manor Marussia,British
26873,983,6,385.0,2,2,4,2017,ferrari,Ferrari,Italian
26874,983,131,503.0,1,1,9,2017,mercedes,Mercedes,German
26875,983,9,270.0,3,3,2,2017,red_bull,Red Bull,Austrian
26876,983,3,65.0,5,5,0,2017,williams,Williams,British
26877,983,10,133.0,4,4,0,2017,force_india,Force India,Indian
26878,983,5,52.0,6,6,0,2017,toro_rosso,Toro Rosso,Italian
26879,983,4,42.0,7,7,0,2017,renault,Renault,French
26880,983,15,5.0,10,10,0,2017,sauber,Sauber,Swiss
26881,983,1,23.0,9,9,0,2017,mclaren,McLaren,British
26882,983,210,37.0,8,8,0,2017,haas,Haas F1 Team,American
27962,72,18,0.0,9,9,0,2005,minardi,Minardi,Italian
